,from_addr,block_date,block_number,approx_value
321,unknown,2018-05-07,7110,0.0
322,unknown,2018-05-08,6092,0.0
323,unknown,2018-05-09,6612,0.0
324,unknown,2018-05-10,6570,0.0
325,unknown,2018-05-11,6989,0.0
326,unknown,2018-05-12,6856,0.0
327,unknown,2018-05-13,7888,0.0
328,unknown,2018-05-14,7866,0.0
329,unknown,2018-05-15,7499,0.0
330,unknown,2018-05-16,6385,0.0
331,unknown,2018-05-17,6964,0.0
332,unknown,2018-05-18,7427,0.0
333,unknown,2018-05-19,6231,0.0
334,unknown,2018-05-20,6756,0.0
335,unknown,2018-05-21,6876,0.0
336,unknown,2018-05-22,6726,0.0
337,unknown,2018-05-23,6763,0.0
